ID,Descrição,Pré - condição,Etapas,Resultado esperado,Status
1,Se não tiver nenhum produto na sacola deve ter a mensagem de sacola vazia,Fazer login no site da Petz ,Clicar no ícone da sacola sem adicionar nenhum produto,"Aparece as mensagens ""Você ainda não tem produtos adicionados à sacola."" e ""Escolha tudo que o seu pet precisa e adicione à sacola para comprar.""",Aprovado
2,"O botão de ""Adicionar á sacola"" na pagina do produto deve levar o produto para a sacola de compras",Fazer login e clicar em algum produto no site da Petz,"Clicar no botão ""Adicionar á sacola""",O produto aparece na sacola de compras,Aprovado
3,A página de sacola de compras deve aceitar mais de um tipo de produto ,Fazer login no site da Petz ,Adicionar 3 produtos na sacola ,A sacola de compras deve ter uma lista com os 3 produtos,Aprovado
4,Deve ser possivel acrescentar quantidades de produtos na sacola de compras clicando no botão +,Fazer login no site da Petz e ter adicionado algum item a sacola,Abrir a sacola e clicar no botão + de um produto duas vezes,A quantidade do item deve aumentar e o valor total tambem,Aprovado
5,Deve ser possivel diminuir quantidades de produtos na sacola de compras clicando no botão -,Fazer login no site da Petz e ter adicionado algum item a sacola,Abrir a sacola e clicar no botão - de um produto ,A quantidade do item deve diminuir e o valor total tambem,Aprovado
6,Deve ser possivel excluir um produto clicando no icone de lixeira,Fazer login no site da Petz e ter adicionado algum item a sacola,Abrir a sacola e clicar no ícone de lixeira de um produto ,O prduto deve sair da sacola de compras,Aprovado
7,Deve ser possivel ver o valor unitario de cada produto ,Fazer login no site da Petz e ter adicionado algum item a sacola,Abrir a sacola e localizar os produtos listados,O preço de uma unica unidade daquele item deve estar visivel ,Aprovado
8,Deve ser possivel ver a quantidade selecionada de cada produto,Fazer login no site da Petz e ter adicionado algum item a sacola,Abrir a sacola e localizar os produtos listados,A quantidade selecionada de cada item deve estar visivel,Aprovado
9,Deve ser possivel ver o valor total de cada produto ,Fazer login no site da Petz e ter adicionado algum item a sacola,Abrir a sacola e localizar os produtos listados,O total de cada item da sacola deve estar visivel e baseado no valor unitario com a quantidade de cada um,Aprovado
10,Deve ser possivel assinar recorrencia de cada produto,Fazer login no site da Petz e ter adicionado algum item a sacola,Abrir a sacola e clicar no switch para ativar a assinatura de um produto,O switch fica ativado e aparece a opção para escolher a frequencia da recorrencia ,Aprovado
11,Deve ser possivel escolher e alterar a frequencia da recorrencia de cada produto,"Fazer login no site da Petz, ter adicionado e ativado a assinatura de recorrencia de algum produto na sacola",Selecionar o envio para cada 30 dias e depois alterar para 90 dias,"Deve aparecer a sinalização ""Envio a cada 90 dias"" ao lado do switch ativado",Aprovado
12,Deve ser possivel ver o nome e a foto de cada produto ,Fazer login no site da Petz e ter adicionado algum item a sacola,Abrir a sacola e localizar os produtos listados,A lista de produtos da sacola deve ter foto e nome de cada item ,Aprovado
13,Clicar no nome ou na foto do produto deve levar o usuário até a pagina do produto novamente,Fazer login no site da Petz e ter adicionado algum item a sacola,Localizar os produtos listados na sacola e clicar na foto ou no nome de um deles,Abre a página com as informações do produto selecionado ,Aprovado
14,Deve ser possivel esvaziar a sacola de compras,Fazer login no site da Petz e ter adicionado algum item a sacola,"Clicar na opção ""Limpar sacola""",Aparece a opção para o usuario confirmar a ação e após isso o carrinho fica vazio,Aprovado
15,Deve ser exibido recomendações de outros produtos na sacola de compras ,Fazer login no site da Petz e ter adicionado algum item a sacola,"Rolar a tela e localizar ""Recomendações de itens em nossa loja""",Aparece uma lista com recomentações de produtos da loja ,Aprovado
16,O campo de cupom de desconto deve aceitar um cupom valido ,Fazer login no site da Petz e ter adicionado algum item a sacola,"Digitar ""BENJAMIN10"" no campo ""Cupom de desconto""","Não aparece mensagem de erro, o desconto aparece no resumo do pedido e é descontado no valor total ",Aprovado
17,O campo de cupom de desconto não deve aceitar um cupom invalido ,Fazer login no site da Petz e ter adicionado algum item a sacola,"Digitar ""aaaaaaaaa"" no campo ""Cupom de desconto""","Aparece a mensagem ""Cupom de desconto inválido""",Aprovado
18,"O campo de ""Qual o CEP?"" deve aceitar um CEP valido ",Fazer login no site da Petz e ter adicionado algum item a sacola,"Digitar ""05777-001"" no campo de CEP",Não aparece mensagem de erro e exibe as opção para escolher a forma de entrega,Aprovado
19,"O campo de ""Qual o CEP?"" não deve aceitar um CEP invalido ",Fazer login no site da Petz e ter adicionado algum item a sacola,"Digitar ""00000-000"" no campo de CEP","Aparece a mensagem ""Não foi possivel calcular o frete. Favor informar um CEP válido.""",Aprovado
20,"A opção ""Não sei meu CEP"" leva o usuario para o site dos correios ",Fazer login no site da Petz e ter adicionado algum item a sacola,"Clicar na opção ""Não sei meu CEP""",Abre o site oficial dos correios,Aprovado
21,Ao digitar um CEP válido deve ser possivel escolher a forma de entrega,Fazer login no site da Petz e ter adicionado algum item a sacola,"Digitar ""05777-001"" no campo de CEP e selecionar uma das opções da forma de entrega",É possivel selecionar qualquer uma das opçoes disponiveis ,Aprovado
22,Para cada forma de entrega deve ser informado o prazo e o valor do frete,Fazer login no site da Petz e ter adicionado algum item a sacola,"Digitar ""05777-001"" no campo de CEP e localizar as opções de forma de entrega",É exibido o prazo e o frete de acordo com cada tipo de entrega ou retirada,Aprovado
23,Deve ter a opção de retirar o pedido na loja fisica,Fazer login no site da Petz e ter adicionado algum item a sacola,"Digitar ""05777-001"" no campo de CEP e selecionar a opção ""Retire na loja""",Abre a tela para escolher a loja para retirar o pedido,Aprovado
24,Deve ser possivel escolher e alterar em qual unidade da loja fisica da Petz o usuario vai buscar o pedido,Fazer login no site da Petz e ter adicionado algum item a sacola,"Digitar ""05777-001"" no campo de CEP,  selecionar a opção ""Retire na loja"" e escolher a loja para retirar o pedido","A opção ""Retire na loja"" fica destacada e a unidade da loja escolhida aparece no Resumo do pedido",Aprovado
25,"Em caso de retirada do pedido na loja, deve ser informado o endereço do local para a retirada","Fazer login no site da Petz , ter adicionado algum item a sacola e escolhido uma loja para retirar o pedido","Localizar a informção ""Endereço de retirada"" abaixo das opçoes de formas de entrega",É exibido o endereço da loja para o usuario retirar o pedido,Aprovado
26,O resumo do pedido deve ter o numero total de itens da sacola,Fazer login no site da Petz e ter adicionado algum item a sacola,"Localizar o numero total de itens da sacola em ""Resumo do pedido"" ",É exibido a quantidade de produtos da sacola no resumo abaixo do campo de cupom de desconto,Aprovado
27,O resumo do pedido deve ter o prazo de entrega ou de retirada do produto,Fazer login no site da Petz e ter adicionado algum item a sacola,"Localizar o prazo de entrega ou retirada em ""Resumo do pedido"" abaixo do campo de cupom de desconto",É exibido o prazo de entrega ou de disponibilidade no resumo abaixo do campo de cupom de desconto,Aprovado
28,O resumo do pedido deve ter o valor total dos descontos ,Fazer login no site da Petz e ter adicionado algum item a sacola,"Localizar o Total de descontos em ""Resumo do pedido"" abaixo do campo de cupom de desconto",É exibido o valor do desconto no resumo abaixo do campo de cupom de desconto,Aprovado
29,O resumo do pedido deve ter o valor total final do pedido ,Fazer login no site da Petz e ter adicionado algum item a sacola,"Localizar o valor total do pedido em ""Resumo do pedido"" abaixo do campo de cupom de desconto",É exibido o valor total do pedido no resumo abaixo do campo de cupom de desconto,Aprovado
30,Na sacola de compras deve ser possível voltar para a tela inicial,Fazer login no site da Petz e ter adicionado algum item a sacola,"Clicar no botão ""Escolher mais produtos""",Abre a tela inicial para o usuario escolher mais produtos,Aprovado
31,Deve ser informado todas as formas de pagamento na sacola de compras,Fazer login no site da Petz e ter adicionado algum item a sacola,Rolar a tela e localizar as formas de pagamento descritas,Aparece o ícone das bandeiras de todas as formas de pagamento aceitas pela Petz,Aprovado
32,Deve ser informado uma forma de entrar em contato com a central para tirar dúvidas,Fazer login no site da Petz e ter adicionado algum item a sacola,Rolar a tela e localizar um telefone para contato em caso de duvidas com o pedido,Aparece um numero de telefone para tirar as duvidas sobre o pedido,Aprovado
33,"O botão de ""Ir para o pagamento"" deve ficar disponivel ao escolher a forma de entrega",Fazer login no site da Petz e ter adicionado algum item a sacola,"Escolher uma forma de entrega e localizar o botão ""Ir para o pagamento""",O botão fica azul e clicavel ,Aprovado
34,"O usuario deve ser encaminhado para a pagina de pagamento ao clicar no botão ""Ir para o pagamento""",Fazer login no site da Petz e ter adicionado algum item a sacola,"Clicar no botão ""Ir para o pagamento""",Abre a tela de pagamento para finalizar o pedido,Aprovado